PropertyMedianID,StateCode,City,Suburb,Median,UpdatedYear,UpdatedMonth,Postcode,Quater,District,No of Sales
3564,VIC,,Buninyong,424500,2017,3,,Q1,,
3567,VIC,,Bunyip,425000,2017,3,,Q1,,
3570,VIC,,Burnley,1405000,2017,3,,Q1,,
3573,VIC,,Burnside,570000,2017,3,,Q1,,
3576,VIC,,Burnside Heights,565000,2017,3,,Q1,,
3579,VIC,,Burwood,1325000,2017,3,,Q1,,
3582,VIC,,Burwood East,1110500,2017,3,,Q1,,
3585,VIC,,Cairnlea,717500,2017,3,,Q1,,
3588,VIC,,California Gully,270000,2017,3,,Q1,,
3591,VIC,,Camberwell,2320000,2017,3,,Q1,,
3594,VIC,,Campbellfield,473100,2017,3,,Q1,,
3597,VIC,,Campbells Creek,465000,2017,3,,Q1,,
3600,VIC,,Camperdown,230000,2017,3,,Q1,,
3603,VIC,,Canadian,304000,2017,3,,Q1,,
3606,VIC,,Canterbury,3050900,2017,3,,Q1,,
3609,VIC,,Cape Paterson,410600,2017,3,,Q1,,
3612,VIC,,Cape Schanck,775000,2017,3,,Q1,,
3615,VIC,,Capel Sound,512500,2017,3,,Q1,,
3618,VIC,,Cardigan Village,250300,2017,3,,Q1,,
3621,VIC,,Carisbrook,207500,2017,3,,Q1,,
3624,VIC,,Carlton,1475000,2017,3,,Q1,,
3627,VIC,,Carlton North,1762500,2017,3,,Q1,,
3630,VIC,,Carnegie,1509000,2017,3,,Q1,,
3633,VIC,,Caroline Springs,587000,2017,3,,Q1,,
3636,VIC,,Carrum,838500,2017,3,,Q1,,
3639,VIC,,Carrum Downs,491300,2017,3,,Q1,,
3642,VIC,,Casterton,149300,2017,3,,Q1,,
3645,VIC,,Castlemaine,425000,2017,3,,Q1,,
3648,VIC,,Caulfield,1953000,2017,3,,Q1,,
3651,VIC,,Caulfield East,1000000,2017,3,,Q1,,
3654,VIC,,Caulfield North,2250000,2017,3,,Q1,,
3657,VIC,,Caulfield South,1612500,2017,3,,Q1,,
3660,VIC,,Chadstone,1115000,2017,3,,Q1,,
3663,VIC,,Charlton,163000,2017,3,,Q1,,
3666,VIC,,Chelsea,880000,2017,3,,Q1,,
