SchoolCode,SchoolName,SchoolType,Suburb,StateCode,Postcode,Longitude,Latitude,SchoolAddress,SchoolID
"3833","Wahroonga Public School","Primary School","Wahroonga","NSW","2076",151.128476,-33.715583,"71 Burns Rd",4515
"3840","Parramatta East Public School","Primary School","Parramatta","NSW","2150",151.017766,-33.806081,"Brabyn St",4518
"3846","Melrose Park Public School","Primary School","West Ryde","NSW","2114",151.071939,-33.814849,"110 Wharf Rd",4520
"3847","Bathurst South Public School","Primary School","Bathurst","NSW","2795",149.568873,-33.432989,"Havannah St",4521
"3851","Wallsend South Public School","Primary School","Wallsend","NSW","2287",151.675241,-32.920075,"Smith Rd",4524
"3854","Hazelbrook Public School","Primary School","Hazelbrook","NSW","2779",150.459399,-33.726554,"Great Western Hwy",4525
"3855","Turramurra Public School","Primary School","Turramurra","NSW","2074",151.114305,-33.745258,"Kissing Point Rd",4526
"3856","Wyrallah Road Public School","Primary School","Lismore","NSW","2480",153.293261,-28.830301,"152 Nielson St",4527
"3860","Oak Flats Public School","Primary School","Oak Flats","NSW","2529",150.817546,-34.56257,"Griffiths St",4530
"3862","Denistone East Public School","Primary School","Eastwood","NSW","2122",151.096571,-33.7943,"Lovell Rd",4531
"3863","Meadowbank Public School","Primary School","Ryde","NSW","2112",151.097677,-33.817807,"Thistle St",4532
"3866","Towradgi Public School","Primary School","Fairy Meadow","NSW","2519",150.899966,-34.388937,"Carters Lane",4534
"3867","Lake Illawarra South Public School","Primary School","Lake Illawarra","NSW","2528",150.859302,-34.539523,"119-129 Reddall Parade",4535
"3869","Yagoona Public School","Primary School","Yagoona","NSW","2199",151.026716,-33.909174,"425 Hume Hwy",4536
"3871","Wattle Grove Public School","Primary School","Wattle Grove","NSW","2173",150.937482,-33.958654,"Cressbrook Drive",4537
"3872","Greenwell Point Public School","Primary School","Greenwell Point","NSW","2540",150.730396,-34.907445,"Greenwell Point Rd",4538
"3873","Dobroyd Point Public School","Primary School","Haberfield","NSW","2045",151.140692,-33.874416,"89 Waratah Street",4539
"3874","Kahibah Public School","Primary School","Kahibah","NSW","2290",151.713608,-32.964902,"Frith St",4540
"3875","Narwee Public School","Primary School","Narwee","NSW","2209",151.06865,-33.948186,"Broadarrow Rd",4541
"3876","Muswellbrook South Public School","Primary School","Muswellbrook","NSW","2333",150.891943,-32.274182,"Maitland St",4542
"3877","Corrimal East Public School","Primary School","Corrimal","NSW","2518",150.906532,-34.377988,"PO Box 73",4543
"3881","Mount St Thomas Public School","Primary School","Wollongong","NSW","2500",150.870048,-34.436911,"Taronga Ave",4544
"3882","Tamworth South Public School","Primary School","Tamworth","NSW","2340",150.911701,-31.105062,"Petra Ave",4545
"3883","Westmead Public School","Primary School","Westmead","NSW","2145",150.985291,-33.810171,"Hawkesbury Rd",4546
"3885","Mount Colah Public School","Primary School","Mount Colah","NSW","2079",151.115695,-33.672947,"Telopea St",4548
"3886","McCallums Hill Public School","Primary School","Roselands","NSW","2196",151.084758,-33.934891,"35-51 McCallum Street",4549
"3890","Cooma North Public School","Primary School","Cooma North","NSW","2630",149.130576,-36.217908,"Baroona Ave",4551
"3893","Windale Public School","Primary School","Windale","NSW","2306",151.678338,-32.992372,"Kilfera St",4554
"3895","Cardiff South Public School","Primary School","Cardiff South","NSW","2285",151.66521,-32.953106,"9 Lake Avenue",4555
"3896","Como West Public School","Primary School","Como","NSW","2226",151.060505,-34.004744,"Wolger & Warraba Sts",4556
"3897","Hamilton North Public School","Primary School","Broadmeadow","NSW","2292",151.734207,-32.917442,"Jackson St",4558
"3898","Marks Point Public School","Primary School","Marks Point","NSW","2280",151.650131,-33.057486,"Findon St",4559
"3903","Glen Alice Public School","Primary School","Glen Alice","NSW","2849",150.214727,-33.040623,"Beaumont St",4563
"3904","Argenton Public School","Primary School","Argenton","NSW","2284",151.629533,-32.938493,"Montgomery St",4565
"3905","Pagewood Public School","Primary School","Botany","NSW","2019",151.214172,-33.942104,"Page St",4566
"3906","Narrabeen North Public School","Primary School","North Narrabeen","NSW","2101",151.298134,-33.699095,"Namona St",4567
"3908","Lane Cove West Public School","Primary School","Lane Cove","NSW","2066",151.152003,-33.809886,"Avalon Ave",4569
"3909","Taree West Public School","Primary School","Taree","NSW","2430",152.444547,-31.907599,"Wingham Rd",4570
"3912","Palinyewah Public School","Primary School","Wentworth","NSW","2648",142.012741,-33.845011,"Palinyewah Roadside Delivery",4573
"3914","Grays Point Public School","Primary School","Grays Point","NSW","2232",151.0723,-34.058656,"109 Angle Rd",4574
"3918","Killara Public School","Primary School","Killara","NSW","2071",151.148436,-33.765473,"Ridgeland Ave",4576
